nome,capacidade,latitude,longitude,clube,treinador,capitão,divisão,site
Maracanã,"78,838",-2290981,-4323391,Flamengo,Rogério Ceni,Diego Alves,TRUE,https://www.flamengo.com.br/
Mané Garrincha,"62,16",-1578375,-4789903,Legião Futebol Clube,Abel Ferreira,Gustavo Gómez,TRUE,https://www.palmeiras.com.br/
Morumbi,"63,903",-2360006,-4672016,São Paulo,Hernán Crespo,Daniel Alves,TRUE,https://www.saopaulofc.net/
Arena Castelão,"43,981",-380674,-3852168,Ceará Sporting Club,Cuca,Réver,TRUE,https://www.atletico.com.br/
Mineirão,"43,713",-1986591,-4397104,Cruzeiro Esporte Clube,Miguel Ángel Ramírez,Andrés D'Alessandro,TRUE,https://internacional.com.br/
Arruda,"49,205",-802681,-3489120,Santa Cruz Futebol Clube,Fernando Diniz,Alison,TRUE,https://www.santosfc.com.br/
Arena do Grêmio,"50,128",-2997404,-5119511,Grêmio Foot-Ball Porto Alegrense,Roger Machado,Nino,TRUE,https://www.fluminense.com.br/
Mangueirão,"48,747",-138114,-4844483,Clube do Remo e do Paysandu Sport Club,Sylvinho,Fagner,TRUE,https://www.corinthians.com.br/
Beira-Rio,"66,795",-3006549,-5123492,Sport Club Internacional,Tiago Nunes,Pedro Geromel,TRUE,https://gremio.net/
Neo Química Arena,"55,662",-2354529,-4647429,Sport Club Corinthians Paulista,António Oliveira,Thiago Heleno,TRUE,https://www.athletico.com.br/
Arena Fonte Nova,"41,112",-1297889,-3850348,Clube Bahia e do Esporte Clube Vitória,Dado Cavalcanti,Conti,TRUE,https://www.esporteclubebahia.com.br/
Parque do Sabiá,"41,574",-1891309,-4823299,Uberlândia Esporte Clube,Guto Ferreira,Messias,TRUE,https://www.cearasc.com/
Arena Pernambuco,"72,788",-802681,-3489120,Clube Náutico Capibaribe,Juan Pablo Vojvoda,Tinga,TRUE,https://fortaleza1918.com.br/
Arena MRV,"47,907",-1993001,-4401388,Clube Atlético Mineiro,Jorginho,Éder,TRUE,https://www.atleticogoianiense.com.br/
Prudentão,"63,903",-2209857,-5141506,Grêmio Prudente Futebol Ltda,Maurício Barbieri,Fabrício Bruno,TRUE,https://www.redbullbragantino.com.br/
Engenhão,"16,256",-2289319,-4329357,Botafogo de Futebol e Regatas,Umberto Louzer,Thyere,FALSE,https://sportrecife.com.br/
Albertão,"31, 218",-511614,-4279287,Esporte Clube Flamengo,Marquinhos Santos,Rafael Forster,FALSE,https://www.juventude.com.br/
Morenão,"19,3",-2050143,-5461022,Esporte Clube Comercial,Claudinei Oliveira,Betão,FALSE,https://www.avai.com.br/
Arena Pantanal,"40,199",-1560406,-5612230,clubes Cuiabá Esporte Clube e Operário Futebol Clube,Felipe Surian,Eloir,FALSE,https://www.sampaiocorreafc.com.br/
Arena da Amazônia,"30,618",-308434,-6002650,Clube Atlético Rio Negro,Allan Aal,Diego Torres,FALSE,https://www.crbalagoas.com.br/
