nome,capacidade,latitude,longitude,clube,treinador,capitão,divisão,site
Maracanã,"78,838",78838,-2290981,Flamengo,Rogério Ceni,Diego Alves,TRUE,https://www.flamengo.com.br/
Mané Garrincha,"62,16",72000,-1578375,Legião Futebol Clube,Abel Ferreira,Gustavo Gómez,TRUE,https://www.palmeiras.com.br/
Morumbi,"63,903",66795,-2360006,São Paulo,Hernán Crespo,Daniel Alves,TRUE,https://www.saopaulofc.net/
Arena Castelão,"43,981",63903,-380674,Ceará Sporting Club,Cuca,Réver,TRUE,https://www.atletico.com.br/
Mineirão,"43,713",61927,-1986591,Cruzeiro Esporte Clube,Miguel Ángel Ramírez,Andrés D'Alessandro,TRUE,https://internacional.com.br/
Arruda,"49,205",60000,-802681,Santa Cruz Futebol Clube,Fernando Diniz,Alison,TRUE,https://www.santosfc.com.br/
Arena do Grêmio,"50,128",55662,-2997404,Grêmio Foot-Ball Porto Alegrense,Roger Machado,Nino,TRUE,https://www.fluminense.com.br/
Mangueirão,"48,747",55645,-138114,Clube do Remo e do Paysandu Sport Club,Sylvinho,Fagner,TRUE,https://www.corinthians.com.br/
Beira-Rio,"66,795",50848,-3006549,Sport Club Internacional,Tiago Nunes,Pedro Geromel,TRUE,https://gremio.net/
Neo Química Arena,"55,662",48234,-2354529,Sport Club Corinthians Paulista,António Oliveira,Thiago Heleno,TRUE,https://www.athletico.com.br/
Arena Fonte Nova,"41,112",48000,-1297889,Clube Bahia e do Esporte Clube Vitória,Dado Cavalcanti,Conti,TRUE,https://www.esporteclubebahia.com.br/
Parque do Sabiá,"41,574",46782,-1891309,Uberlândia Esporte Clube,Guto Ferreira,Messias,TRUE,https://www.cearasc.com/
Arena Pernambuco,"72,788",46000,-802681,Clube Náutico Capibaribe,Juan Pablo Vojvoda,Tinga,TRUE,https://fortaleza1918.com.br/
Arena MRV,"47,907",46000,-1993001,Clube Atlético Mineiro,Jorginho,Éder,TRUE,https://www.atleticogoianiense.com.br/
Prudentão,"63,903",45954,-2209857,Grêmio Prudente Futebol Ltda,Maurício Barbieri,Fabrício Bruno,TRUE,https://www.redbullbragantino.com.br/
Engenhão,"16,256",45217,-2289319,Botafogo de Futebol e Regatas,Umberto Louzer,Thyere,FALSE,https://sportrecife.com.br/
Albertão,"31, 218",44200,-511614,Esporte Clube Flamengo,Marquinhos Santos,Rafael Forster,FALSE,https://www.juventude.com.br/
Morenão,"19,3",44200,-2050143,Esporte Clube Comercial,Claudinei Oliveira,Betão,FALSE,https://www.avai.com.br/
Arena Pantanal,"40,199",44097,-1560406,clubes Cuiabá Esporte Clube e Operário Futebol Clube,Felipe Surian,Eloir,FALSE,https://www.sampaiocorreafc.com.br/
Arena da Amazônia,"30,618",44000,-308434,Clube Atlético Rio Negro,Allan Aal,Diego Torres,FALSE,https://www.crbalagoas.com.br/
