nome,capacidade,latitude,longitude,,clube,treinador,capitão,divisão,site
Maracanã,"78,838","78.838,00","-2.290.981,00",,Flamengo,Rogério Ceni,Diego Alves,TRUE,https://www.flamengo.com.br/
Mané Garrincha,"62,16","72.000,00","-1.578.375,00",,Palmeiras,Abel Ferreira,Gustavo Gómez,TRUE,https://www.palmeiras.com.br/
Morumbi,"63,903","66.795,00","-2.360.006,00",,São Paulo,Hernán Crespo,Daniel Alves,TRUE,https://www.saopaulofc.net/
Arena Castelão,"43,981","63.903,00","-380.674,00",,Atlético-MG,Cuca,Réver,TRUE,https://www.atletico.com.br/
Mineirão,"43,713","61.927,00","-1.986.591,00",,Internacional,Miguel Ángel Ramírez,Andrés D'Alessandro,TRUE,https://internacional.com.br/
Arruda,"49,205","60.000,00","-802.681,00",,Santos,Fernando Diniz,Alison,TRUE,https://www.santosfc.com.br/
Arena do Grêmio,"50,128","55.662,00","-2.997.404,00",,Fluminense,Roger Machado,Nino,TRUE,https://www.fluminense.com.br/
Mangueirão,"48,747","55.645,00","-138.114,00",,Corinthians,Sylvinho,Fagner,TRUE,https://www.corinthians.com.br/
Beira-Rio,"66,795","50.848,00","-3.006.549,00",,Grêmio,Tiago Nunes,Pedro Geromel,TRUE,https://gremio.net/
Neo Química Arena,"55,662","48.234,00","-2.354.529,00",,Athletico-PR,António Oliveira,Thiago Heleno,TRUE,https://www.athletico.com.br/
Arena Fonte Nova,"41,112","48.000,00","-1.297.889,00",,Bahia,Dado Cavalcanti,Conti,TRUE,https://www.esporteclubebahia.com.br/
Parque do Sabiá,"41,574","46.782,00","-1.891.309,00",,Ceará,Guto Ferreira,Messias,TRUE,https://www.cearasc.com/
Arena Pernambuco,"72,788","46.000,00","-802.681,00",,Fortaleza,Juan Pablo Vojvoda,Tinga,TRUE,https://fortaleza1918.com.br/
Arena MRV,"47,907","46.000,00","-1.993.001,00",,Atlético-GO,Jorginho,Éder,TRUE,https://www.atleticogoianiense.com.br/
Prudentão,"63,903","45.954,00","-2.209.857,00",,Red Bull Bragantino,Maurício Barbieri,Fabrício Bruno,TRUE,https://www.redbullbragantino.com.br/
Engenhão,"16,256","45.217,00","-2.289.319,00",,Sport Recife,Umberto Louzer,Thyere,FALSE,https://sportrecife.com.br/
Albertão,"31, 218","44.200,00","-511.614,00",,Juventude,Marquinhos Santos,Rafael Forster,FALSE,https://www.juventude.com.br/
Morenão,"19,3","44.200,00","-2.050.143,00",,Avaí,Claudinei Oliveira,Betão,FALSE,https://www.avai.com.br/
Arena Pantanal,"40,199","44.097,00","-1.560.406,00",,Sampaio Corrêa,Felipe Surian,Eloir,FALSE,https://www.sampaiocorreafc.com.br/
Arena da Amazônia,"30,618","44.000,00","-308.434,00",,CRB,Allan Aal,Diego Torres,FALSE,https://www.crbalagoas.com.br/
