Clube,Treinador,Capitão,Divisão,Site
Flamengo,Rogério Ceni,Diego Alves,Série A,https://www.flamengo.com.br/
Palmeiras,Abel Ferreira,Gustavo Gómez,Série A,https://www.palmeiras.com.br/
São Paulo,Hernán Crespo,Daniel Alves,Série A,https://www.saopaulofc.net/
Atlético-MG,Cuca,Réver,Série A,https://www.atletico.com.br/
Internacional,Miguel Ángel Ramírez,Andrés D'Alessandro,Série A,https://internacional.com.br/
Santos,Fernando Diniz,Alison,Série A,https://www.santosfc.com.br/
Fluminense,Roger Machado,Nino,Série A,https://www.fluminense.com.br/
Corinthians,Sylvinho,Fagner,Série A,https://www.corinthians.com.br/
Grêmio,Tiago Nunes,Pedro Geromel,Série A,https://gremio.net/
Athletico-PR,António Oliveira,Thiago Heleno,Série A,https://www.athletico.com.br/
Bahia,Dado Cavalcanti,Conti,Série A,https://www.esporteclubebahia.com.br/
Ceará,Guto Ferreira,Messias,Série A,https://www.cearasc.com/
Fortaleza,Juan Pablo Vojvoda,Tinga,Série A,https://fortaleza1918.com.br/
Atlético-GO,Jorginho,Éder,Série A,https://www.atleticogoianiense.com.br/
Red Bull Bragantino,Maurício Barbieri,Fabrício Bruno,Série A,https://www.redbullbragantino.com.br/
Sport Recife,Umberto Louzer,Thyere,Série B,https://sportrecife.com.br/
Juventude,Marquinhos Santos,Rafael Forster,Série B,https://www.juventude.com.br/
Avaí,Claudinei Oliveira,Betão,Série B,https://www.avai.com.br/
Sampaio Corrêa,Felipe Surian,Eloir,Série B,https://www.sampaiocorreafc.com.br/
CRB,Allan Aal,Diego Torres,Série B,https://www.crbalagoas.com.br/
